seqnames	start	end
chr20	60876801	60878060
chr22	50585151	50585610
chr8	57154401	57154960
chr1	205627751	205628510
chr8	25991151	25991660
chr1	202569001	202569810
chr17	79917351	79918160
chr1	242180851	242181410
chr1	153483201	153483860
chr9	34664201	34664710
chr12	53298801	53299210
chr7	129882351	129882810
chr1	225959901	225960460
chr12	95730201	95730610
chr9	134466451	134466960
chr2	40987151	40987610
chr20	57445251	57445760
chr2	42890251	42890710
chr20	49988751	49989260
chr12	131400701	131401160
chr19	10755351	10755810
chr2	34237751	34238160
chr7	93918251	93918710
chr1	119910051	119910560
chr12	43732701	43733160
chr3	48192951	48193410
chr11	61299601	61300060
chr17	78226651	78227110
chr3	39329751	39330260
chr9	33229201	33229710
chr1	49283201	49283610
chr6	114200651	114201060
chr18	48033451	48033910
chr17	32526851	32527410
chr12	62387501	62387910
chr11	94887601	94888010
chr1	161109551	161109960
chr1	23302851	23303560
chr17	41387051	41387510
chr6	64722101	64722560
chr15	38295051	38295510
chr11	42546201	42546560
chr6	35265301	35265760
chr2	216784851	216785260
chr20	43100051	43100460
chr6	122813051	122813460
chr1	21697001	21697460
chr8	140260251	140260710
chr8	103209601	103210060
chr1	192280401	192280860
chr2	113837551	113838060
chr4	12726101	12726560
chr10	100069301	100069760
chr1	205760601	205761310
chr17	51110101	51110510
chr20	52814501	52814960
chr15	66544651	66545160
chr9	127082551	127083010
chr1	24243251	24243710
chr6	6724651	6725160
chr11	19332851	19333310
chr5	1763701	1764110
chr17	27438801	27439260
chr5	172134001	172134610
chr11	15792351	15792760
chr10	73456401	73456910
chr4	37795151	37795560
chr3	55931651	55932060
chr1	246852651	246853410
chr20	4701301	4701760
chr9	71614501	71614960
chrX	15586401	15586760
chr5	156739351	156739910
chr1	153165101	153165660
chr1	232765551	232766860
chr8	106437101	106437560
chr10	134036501	134037060
chr15	69868251	69868710
chr2	80087651	80088060
chr11	17526051	17526560
chr2	239867401	239867810
chr14	34968001	34968410
chr21	40510001	40510510
chr9	5799201	5799660
chr6	163602201	163602610
chr22	31544951	31545410
chr2	126229651	126230060
chr12	132990501	132991010
chr10	103061201	103061560
chr2	101346701	101347160
chr6	109509001	109509410
chr6	138121101	138121510
chr8	25434651	25435060
chr1	230767951	230768460
chr8	102533901	102534360
chr14	60364451	60364860
chr5	118603501	118604160
chr2	16689501	16689910
chr4	115299501	115299860
chr5	55496901	55497360
chr8	85560451	85560860
chr10	121249201	121249660
chr5	56433901	56434310
chr10	13578751	13579110
chr7	1704151	1704710
chr20	3994551	3995060
chr5	173472301	173472860
chr20	1715151	1715560
chrX	130897701	130898060
chr1	247844401	247845060
chr16	86551251	86551710
chr4	155539801	155540260
chr17	52250001	52250460
chr1	172059251	172059810
chr1	159130551	159131460
chr8	120098601	120099110
chr11	118560301	118561310
chr5	156243001	156243460
chr2	208337851	208338260
chr9	93747501	93747860
chr1	71662401	71662760
chr6	53275451	53275860
chr5	30401601	30402010
chr1	14292251	14292660
chr20	45149601	45150010
chr1	236109751	236110210
chr15	80145801	80146260
chr6	136638151	136638560
chrX	130844951	130845360
chr10	118925301	118925660
chrX	130927051	130927410
chr17	48919201	48919660
chr1	194264801	194265210
chr8	138738151	138738610
chr6	35114151	35114560
chr6	64062901	64063310
chr8	138859251	138859660
chr1	14440301	14440760
chr20	25450651	25451060
chrX	130917501	130917910
chr16	89623851	89624260
chr12	10653601	10654010
chr5	71053701	71054160
chr9	98994651	98995110
chr11	119404451	119405210
chr1	85773751	85774310
chr16	66684801	66685260
chr8	71314501	71315160
chr14	96075751	96076160
chr1	32228201	32228660
chr11	72635651	72636010
chrX	130838201	130838660
chr8	123459651	123460160
chr6	148899251	148899760
chr20	48125101	48125610
chr2	62220551	62220960
chr8	19616001	19616460
chr2	119129051	119129510
chr1	182038101	182038560
chr10	102321701	102322160
chr15	99949251	99949610
chr9	87873651	87874110
chr6	3748451	3748860
chr14	96566851	96567410
chr1	228186851	228187510
chr15	46604301	46604710
chr3	45948301	45948710
chr22	42322001	42322510
chr1	155024801	155025360
chr8	138346801	138347310
chr1	245242201	245242910
chr10	45428101	45428560
chr14	34800801	34801260
chr5	54191551	54191960
chr6	167555651	167556060
chr5	122335601	122336060
chr16	12990401	12990810
chr5	139954901	139955360
chr1	156577801	156578310
chr20	36933201	36933660
chr18	12893801	12894160
chr1	214982101	214982610
chr5	161635951	161636410
chr10	118386901	118387360
chr5	61229851	61230260
chr1	176812851	176813260
chr12	52537201	52537660
chr11	10388151	10388610
chr1	160738101	160738460
chr2	65116051	65116460
chr7	92722051	92722410
chr16	11907601	11907960
chr11	2320501	2320910
chr1	29839801	29840160
chrX	130809601	130810010
chr7	3240151	3240510
chr5	146749251	146749810
chr4	55185001	55185460
chr8	142394651	142395110
chr2	67877951	67878360
chr15	58562151	58562560
chr3	42613801	42614160
chr20	2188051	2188610
chr13	78067001	78067410
chr15	78600701	78601160
chr5	15995551	15996010
chr16	28989001	28989460
chr16	68098601	68099010
chr3	27762951	27764060
chr1	226065301	226065760
chr5	140014601	140015060
chr1	228261401	228262060
chr1	240855301	240855860
chr1	20301251	20301710
chrX	83014901	83015260
chr7	81345301	81345710
chr3	38045851	38046260
chr16	22691851	22692410
chr6	160030001	160030410
chr20	4052651	4053160
chr6	125117001	125117410
chr1	248782151	248782660
chr9	92163951	92164360
chr19	15272201	15272760
chr22	39910351	39910760
chr17	43226451	43227010
chr13	69501551	69501960
chr13	113585751	113586160
chr5	159343101	159343710
chr9	35258801	35259260
chr20	1489801	1490260
chr1	230404551	230405060
chr5	169128801	169129210
chr5	179544101	179544510
chr7	41744651	41745360
chr2	73487401	73487810
chr2	34795551	34795960
chr15	95569351	95569760
chr9	90427701	90428210
chrX	130896801	130897160
chr7	104563251	104563760
chr1	9675551	9676060
chr5	39283401	39283810
chr7	54907251	54907760
chr4	15957301	15958310
chr17	46095651	46096110
chr1	43703751	43704160
chr2	165352151	165352510
chr1	118696851	118697260
chr1	6035251	6035610
chr5	148504801	148505260
chr2	109605451	109605960
chr1	247650351	247650860
chr9	104554201	104554610
chr15	98721151	98721610
chr21	40813401	40813860
chr1	220454301	220454860
chr1	222182451	222183010
chr4	111553001	111553410
chr13	27521051	27521460
chr1	44399851	44400910
chr9	121358051	121358360
chr5	132165451	132166460
chr4	156708201	156708660
chr1	201499751	201500410
chr19	56587751	56588210
chr3	42871801	42872260
chr1	221047451	221048060
chr13	111596651	111597060
chr9	97443701	97444110
chr9	117197051	117197460
chr8	55671301	55671710
chr18	42258851	42259460
chr16	80118451	80118910
chr13	51375451	51375860
chr4	119890451	119890860
chr6	78160651	78161010
chr1	168291101	168291560
chr9	130846151	130846510
chr8	16451401	16451760
chr12	39981001	39981460
chr4	70689101	70689460
chr17	73621951	73622410
chr20	22955001	22955410
chr22	24585501	24586060
