seqnames	start	end
chr19	53030301	53030710
chr6	108436951	108437310
chr9	93862301	93862560
chr1	28261401	28261660
chr7	100227051	100227210
chrX	134611501	134611860
chr3	149070251	149070660
chr11	67149951	67150460
chr3	137833801	137834160
chr14	31926801	31926860
chr11	1673801	1674360
chr1	157595901	157596260
chr10	120303551	120304010
chr14	21304851	21305160
chr21	31781201	31781610
chr3	158509101	158509510
chr13	103378901	103379060
chr20	52719901	52720410
chr17	28699901	28700060
chr3	155470801	155471210
chr6	112940051	112940260
chr1	10554651	10555510
chr19	10946851	10947160
chr20	33865351	33865610
chr1	179851801	179852310
chr16	2924801	2925260
chr2	184221701	184221860
chr1	6306701	6307210
chr17	46962001	46962410
chr19	5515901	5516010
chr11	64283801	64284010
chr12	53870701	53871010
chr3	194403301	194403760
chr3	156848351	156848810
chr10	35283551	35284010
chr2	98280751	98281210
chr1	17313501	17313810
chr12	126536101	126536460
chr2	228804301	228804610
chr15	72045051	72045360
chr19	37718951	37719210
chr3	123798201	123798560
chr1	82226201	82226510
chrX	106898351	106898760
chr3	46736751	46737110
chr11	783551	784010
chr16	25066901	25067310
chr5	72514401	72514760
chr2	59676401	59676760
chr5	131599701	131600010
chr5	35963351	35963860
chr15	39464251	39464610
chr20	37591201	37591510
chr5	148761301	148761960
chr15	31507501	31508060
chr12	122064651	122064860
chr7	45175701	45176160
chr4	42967401	42967760
chr12	13250901	13251360
chr10	98670251	98670660
chr12	114418301	114418760
chr3	14715251	14715610
chr6	150067401	150067810
chr14	74757151	74757510
chr6	143144151	143144360
chr4	152967001	152967160
chr19	45414451	45414810
chr19	2819551	2820110
chr9	131625751	131626310
chr19	10582651	10583010
chr3	107513551	107513710
chr1	229238451	229238810
chr1	109743701	109744160
chr1	231726201	231726960
chr9	2838001	2838110
chr3	105088601	105089010
chr1	208410601	208410960
chr22	26168851	26169310
chr12	91775751	91776210
chr20	7094451	7094910
chr3	128327151	128327560
chr10	183101	183360
chr8	82783051	82783560
chr20	33150451	33150760
chr17	56032601	56032960
chrX	56753001	56753410
chr3	20381801	20382260
chr4	2674951	2675210
chr10	118556401	118556910
chrX	47243901	47244310
chr1	32173401	32173710
