seqnames	start	end
chr12	98354801	98355160
chr22	29716551	29716910
chr1	57433951	57434310
chr3	28039301	28039610
chr11	11252651	11253010
chr8	78222701	78223060
chr1	204661401	204661810
chr1	224701251	224701960
chr6	138693951	138694310
chr8	105771801	105772410
chr14	96722751	96723110
chr6	55157901	55158310
chr1	188335051	188335360
chr17	17489501	17489860
chr1	245960901	245961360
chr14	54955701	54956110
chr14	96194301	96194310
chr5	135086201	135086560
chr9	38700801	38701110
chr13	101768101	101768410
chr8	134063951	134064260
chr2	70687551	70687760
chr14	51865801	51866060
chr14	100223951	100224110
chr7	142636651	142637060
chr13	30404251	30404460
chr21	16893101	16893460
chrX	135436401	135436710
chr1	181601801	181602110
chr4	121971451	121971810
chr17	54754251	54754510
chr2	63029301	63029660
chr4	106362151	106362310
chr5	172185051	172185310
chr3	39302501	39302860
chr5	145386801	145387210
chr5	81893301	81893560
chr6	88866851	88867160
chr10	55606601	55606960
chr5	162531551	162531910
chr4	187543051	187543310
chr8	10938751	10938760
chr1	232102701	232103110
chr2	37763351	37763710
chr4	108661451	108661810
chr12	102186351	102186710
chr7	64085501	64085810
chr9	35385101	35385410
chr6	579351	579710
chr12	78682151	78682310
chr1	201914351	201914710
chr13	99848751	99849060
chr15	90514751	90515160
chr1	177465051	177465360
chr5	121366001	121366210
chr13	37879301	37879560
chr1	230428551	230428810
chr4	112846251	112846460
chr7	3439551	3439910
chr21	34641401	34641710
chr1	188433051	188433410
chr3	32273101	32273260
chr1	147228501	147228760
chrX	12979351	12979610
chr4	96558201	96558560
chr13	96881551	96882110
chr1	234358601	234359010
chr11	74925401	74925660
chr1	158914851	158915210
chr20	38990601	38990910
chr1	192579251	192579710
chr8	112370351	112370710
chr6	35725251	35725610
chr1	160776051	160776410
chr6	151969151	151969410
chr8	130214801	130215110
chr11	56853151	56853410
chr1	220685101	220685560
chr1	114491801	114492060
chr5	79174551	79174910
chr1	231180851	231181310
chr5	134498451	134498660
chr1	71210851	71211210
chr22	40439201	40439510
chr6	19812751	19813160
chr5	51415701	51415910
chr1	215699801	215700510
chr2	51099751	51100010
chr1	91867551	91867910
chr9	6107051	6107410
chr1	211526151	211526760
chr5	99051701	99051960
chr10	105456251	105456660
chr1	239568601	239569210
chr5	179759201	179759610
chr12	128162101	128162460
chr19	5017401	5017660
chr9	37295851	37296160
chr7	78614901	78615160
chr16	68647601	68647660
chr3	20287401	20287560
chr4	185450451	185450560
chr7	42685551	42685810
chr16	66129701	66129810
chr2	156985851	156986060
chr2	159757751	159758160
chr1	108859201	108859560
chr5	169148851	169149110
chr7	35633551	35633910
chr1	147287601	147287910
chr5	131841751	131842260
chrX	107020401	107020810
chr9	117147551	117147760
chr1	204263651	204263760
chr18	23554651	23554660
chr1	183275651	183276110
chr4	15198601	15198960
chr14	36432401	36432760
chr5	154429301	154429760
chr13	73765701	73766010
chr8	26394251	26394660
chr3	34416101	34416210
chr1	26021651	26021960
chr8	142292751	142292960
chr2	160854001	160854060
chr22	30209601	30209960
chr5	8522901	8523060
chr1	187482451	187482560
chr13	36400801	36401110
chr13	113271301	113271660
chr5	32942551	32942910
chr5	12705101	12705410
chr5	147070201	147070610
chr8	86999501	86999860
chr10	129915551	129915860
chr1	33895901	33896910
chr5	35939801	35940060
chr1	195578001	195578360
chr8	56451201	56451410
chr4	52863901	52864160
chr18	38537601	38537810
chr16	74266601	74266810
chr12	33758751	33759110
chr9	7479351	7479610
chr14	55182101	55182310
chr17	49927601	49927960
chr1	209898551	209898960
chr5	10289251	10289310
chr11	35389301	35389310
chr3	59050101	59050360
chrX	136197101	136197110
chr2	3709951	3710260
chr9	27535801	27536110
chr8	123629901	123630260
chr5	137914951	137915410
chr6	70920201	70920560
chr4	27229201	27229360
chr4	118369151	118369410
chr3	67991051	67991260
chr6	80472051	80472410
chr9	18017251	18017460
chr12	70058651	70058960
chr10	127665801	127666060
chrX	13782901	13783210
chr6	2744651	2744960
chr4	126973301	126973560
chr13	68310701	68311010
chr3	57419751	57420160
chr1	201566951	201567360
chr1	19000501	19000860
chr3	27575401	27575710
chr6	110839401	110839810
