seqnames	start	end
chr22	50585151	50585610
chr10	134036501	134037010
chr2	42890251	42890710
chr18	48033451	48033910
chr7	54907251	54907760
chr9	131790701	131791110
chr12	52537251	52537660
chr1	225959901	225960460
chr17	51110101	51110510
chr12	53298801	53299210
chr2	40987151	40987610
chr17	46095701	46096110
chr11	119404451	119405210
chr17	52250051	52250460
chr8	22004251	22004760
chr8	127568501	127569210
chr11	118530001	118530610
chr13	103109651	103110060
chr1	85773751	85774310
chr5	36693201	36693660
chr16	3550701	3551110
chr17	78226651	78227110
chr11	61299601	61300010
chr11	72635651	72636010
chr6	136638201	136638560
chr11	19332851	19333260
chr11	13992501	13992910
chr19	42937801	42938210
chr20	57225451	57226310
chr9	114837001	114837410
chr16	66684801	66685260
chr12	123236951	123237510
chr5	122335601	122336060
chr17	72653551	72653910
chr9	34664251	34664710
chr2	113837601	113838010
chr17	27438801	27439260
chr12	43732701	43733110
chr20	54762851	54763260
chr12	42982651	42983110
chr15	40714051	40714510
chr5	140014601	140015010
chr22	24585501	24586060
chr14	34968001	34968410
chr9	90427751	90428210
chr1	228186851	228187510
chr9	111433501	111433860
chr13	30282001	30282460
chr4	115299501	115299860
chr7	76145201	76145660
chr11	66079201	66079960
chr11	42546201	42546560
chr3	17882701	17883160
chr17	48919201	48919660
chr10	118925301	118925660
chr5	159343151	159343660
chr1	14440301	14440760
chr2	110472951	110473310
chr12	58934251	58934660
chr11	118560301	118561310
chr6	3748501	3748860
chr6	131520801	131521210
chr6	3933301	3933710
chr20	57445301	57445760
chr17	42160801	42161260
chr9	127242851	127243210
chr20	34744451	34744960
chr1	50834101	50834510
chr6	138121101	138121510
chr5	131400201	131401460
chr19	33732451	33732960
chr12	127839601	127840010
chr17	32526851	32527410
chr16	89623851	89624260
chr20	4701301	4701760
chr8	1643951	1644310
chr1	219240351	219240860
chr13	45968101	45968510
chr9	127082551	127083010
chr1	49283201	49283610
chrX	21498001	21498410
chr20	3696851	3697260
chr14	60364501	60364860
chr8	142394701	142395110
chr5	4868251	4868610
chr20	22955001	22955360
chr11	94887651	94888010
chr7	1704201	1704710
chr7	2517201	2517660
chr1	249101251	249101760
chr8	141109201	141109610
chr15	58513851	58514210
chr21	46352501	46352960
chr7	27274951	27275360
chr11	37679201	37679610
chr11	4203301	4203760
chr14	77111251	77111660
chr15	80145851	80146260
chr1	203086801	203087460
chr17	50248351	50248710
chr15	78600701	78601160
chr4	15957851	15958310
chr18	33876551	33876960
chr2	34795551	34795960
chr1	112841201	112841610
chr7	141349701	141350110
chr11	126860201	126860660
chr6	167555651	167556060
chr11	15792351	15792760
chr15	38295101	38295510
chr6	160509401	160509810
chr22	37941051	37941560
chr11	62648601	62649160
chr16	68624351	68624810
chr5	15824451	15824760
chr6	70506701	70507160
chr16	11907601	11907910
chr13	49169751	49170160
chr19	59092501	59092910
chrX	153188301	153188660
chr1	154934001	154934760
chr5	52558201	52558610
chr14	55158251	55158660
chr8	9008051	9008610
chr1	21694901	21695410
chr11	17526101	17526510
chr9	87283151	87283560
chr5	174163001	174163410
chr12	115105851	115106260
chr5	61229851	61230260
chr9	140429201	140429660
chr1	23302851	23303560
chr11	82486751	82487160
chr10	100069301	100069710
chr5	74561501	74561860
chr6	160030001	160030360
chr22	27801851	27802260
chr9	131398301	131398710
chr7	127987601	127988010
chr8	25991151	25991610
chr13	29937101	29937510
chr20	45149601	45150010
chr19	1671801	1672710
chr1	228261401	228262010
chr19	31173851	31174260
chr10	31072751	31073160
chr6	120063301	120063760
chr10	125341601	125342060
chr20	32044951	32045410
chr3	40761401	40761760
chr22	23035201	23035660
chr1	24243251	24243710
chr12	79801701	79802110
chr5	159392501	159392960
chr2	80087701	80088060
chr1	201499751	201500360
chr5	132623201	132623660
chr9	4375401	4375710
chr7	5490301	5490710
chr2	126229651	126230010
chr7	25132901	25133360
chr2	239867401	239867810
chr5	172198851	172199660
chr14	30753051	30753460
chr14	96566851	96567360
chr2	76826851	76827310
chr2	71012451	71012810
chr10	94334001	94335060
chr18	61603351	61603810
chr8	139739601	139740110
chr19	46094151	46094560
chr6	39860301	39860660
chr7	97795451	97795860
