seqnames	start	end
chr1	205240051	205240910
chr2	206678201	206679110
chr7	24921251	24921660
chr8	102149351	102149910
chr22	29716551	29716910
chr6	74880301	74880710
chr21	34675101	34675460
chr1	205908851	205909310
chr5	134498351	134498760
chr1	160776051	160776510
chr1	224701251	224702010
chr5	81893251	81893610
chr2	129071051	129071460
chr12	47344551	47344860
chr1	158914851	158915260
chr11	86282451	86283010
chr13	108302401	108302860
chr2	216601401	216601810
chr2	143436401	143436710
chr5	179759151	179759610
chr11	116607501	116607860
chr8	78222651	78223110
chr3	37845551	37845910
chr20	1420601	1421110
chr3	32273001	32273360
chr2	10328301	10328760
chr4	108661451	108661860
chr4	111401351	111401710
chr1	204661301	204661960
chr2	206404351	206404710
chr5	180240401	180240810
chr6	5115401	5115760
chr11	66360151	66360610
chr8	102169801	102170210
chr1	201914301	201914810
chr17	45054701	45055060
chr1	85223001	85223410
chr5	140566451	140566860
chr3	59050051	59050360
chr4	118369101	118369460
chr15	101458051	101458660
chr8	105771701	105772460
chr20	36815951	36816260
chr1	147287551	147287960
chr9	18017201	18017510
chr12	70058601	70059110
chrX	13782901	13783260
chr3	25618601	25618960
chr10	62580051	62580410
chr8	134132501	134133110
chr5	132652001	132652460
chr5	135086201	135086660
chr1	207029901	207030660
chr11	13509251	13509560
chr8	101637801	101638210
chr11	56853101	56853460
chr6	88866851	88867210
chr19	17600001	17600360
chr3	63893751	63894110
chr21	16893101	16893510
chr19	30492751	30493060
chrX	103614751	103615210
chr20	39335551	39335960
chr8	10331851	10332210
chr21	40525301	40525760
chr2	72017001	72017310
chr6	160263051	160263410
chr5	171589351	171589710
chr7	142636651	142637060
chr7	143026601	143026910
chr21	34641351	34641710
chr2	201542601	201542960
chr1	232102651	232103110
chr10	27361401	27361760
chr8	125561851	125562310
chr19	43809751	43810210
chr10	94598901	94599260
chr9	76896651	76897010
chr1	33895901	33897060
chr11	104871551	104871910
chr11	63669201	63669510
chr6	138693951	138694310
chr1	173217801	173218110
chr7	127238401	127238760
chr15	90514701	90515210
chr13	50134451	50134810
chr9	38700801	38701160
chr13	101768101	101768460
chr9	37410851	37411660
chr15	99930901	99931260
chr1	245960901	245961410
chr5	136710951	136711260
chr15	39920201	39920610
chr4	31795551	31795860
chr1	246670101	246670760
chr5	132682751	132683110
chr1	12074351	12074710
chr11	11252651	11253010
chr1	177465051	177465410
chr3	13503001	13503510
chr7	35633501	35633910
chr10	81250951	81251310
chr14	54955651	54956110
chr2	239276301	239276660
chr8	125965901	125966360
chr2	29238051	29238360
chr6	13397901	13398410
chr8	124985001	124985310
chr12	51813301	51813660
chr3	27270351	27270710
chr13	42613751	42614110
chr1	231180851	231181410
chr21	34289001	34289410
chr5	2848751	2849160
chr14	96194201	96194460
chrX	135436351	135436710
chr4	122198701	122199160
chr8	129133001	129133360
chr18	35056151	35056560
chr14	105478501	105478910
chr16	66129601	66129910
chr12	53937101	53937710
chr11	108911051	108911360
chr7	101958951	101959410
chr1	151976501	151976910
chr17	54754201	54754560
chr3	21881201	21881560
chr21	44089201	44089560
chr1	203562651	203563210
chr16	57893251	57893610
chr13	36400801	36401160
chr1	228581001	228581710
chr15	80912051	80912410
chr6	4957701	4958210
chr13	99848701	99849110
chr5	141744201	141744560
chr21	38400951	38401310
chr6	55157901	55158310
chr12	51656451	51656860
chr1	181473401	181473860
chr8	126800001	126800360
chr2	177894251	177894610
chrX	19678001	19678410
chr8	127009851	127010110
chr18	38975701	38976110
chr21	42443351	42443710
chr17	80382401	80382810
chr15	85861151	85861510
chr5	172822251	172822610
chr17	17489501	17489860
chr6	40518051	40518410
chr14	88354451	88354910
chr8	140209501	140209810
chr18	68101101	68101610
chr6	152527551	152527960
chr12	48111251	48111660
chr15	69338001	69338410
chr1	114491801	114492110
chr12	27016501	27016810
chr8	112370351	112370810
chr1	8891401	8891760
chr11	119350351	119350810
chr12	58570051	58570460
chr7	42685451	42685910
chr4	158986401	158986710
chr10	129915501	129915910
chr8	40794951	40795310
chr20	38990601	38990910
chr5	2711051	2711410
chr2	159757751	159758160
chr2	37763351	37763710
chrX	12979351	12979660
chr1	111740151	111740560
chr1	239247801	239248160
chr12	102186351	102186760
chr13	27913001	27913860
chr1	226737951	226738710
chr10	14286151	14286510
chr15	67215701	67216110
chr8	57805451	57805810
chr2	75517851	75518210
chr2	63029301	63029660
chr8	134063901	134064310
chr1	230577401	230577810
chr10	95457001	95457360
chr10	17417951	17418360
chr9	35385051	35385410
chr16	77410301	77410660
chr6	51952451	51952860
chr20	12551001	12551360
chr12	87660101	87660410
chr9	18297451	18297910
chr13	37879251	37879610
chr5	139580751	139581060
chr1	110381501	110381810
chr1	70790351	70790760
chr7	10759701	10760010
chr20	12818901	12819310
chr6	91691801	91692060
chr7	3439551	3439960
chr16	47615051	47615360
chr19	19586701	19587060
chr1	159820701	159821610
chr11	74925401	74925710
chr2	233708601	233708910
chr2	203962501	203962810
chr4	37668451	37668760
chr5	55565351	55565810
chr8	102369701	102370060
chr19	39176401	39176860
chr9	38133651	38133960
chr4	74977751	74978060
chr14	51865751	51866060
chr11	9114701	9115110
chr10	14242651	14243010
chr4	109664301	109664610
chr2	85413351	85413710
chr11	72906451	72906810
chr1	53935701	53936160
chr2	54725151	54725560
chr17	63096151	63097060
chr15	45933551	45933860
chr8	41393351	41393760
chr6	5175451	5175760
chrX	132926301	132926960
chr6	65215201	65215610
chr2	146303651	146304060
chr1	188684701	188685060
chr1	235720751	235721260
chr2	238701001	238701310
chr11	58335351	58335810
chr6	140216551	140216910
chr6	47040751	47041160
chr13	38939401	38939710
chr13	110764801	110765160
chr4	91703151	91703460
chr2	173263251	173263510
chr6	19452751	19453010
chr3	27575351	27575710
chr16	53041101	53041310
chr10	36070551	36070910
chr12	14066401	14066660
chr9	117147451	117147760
chr15	33452301	33452610
chr6	2744601	2745010
chr5	131525851	131526310
chr4	112846151	112846510
chr8	105488001	105488360
chr12	27885201	27885610
chr1	201344301	201344710
chr12	98354801	98355210
chr1	116676801	116677160
chr2	158732851	158733310
chr3	66286751	66287060
chr12	114305051	114305460
chr3	39302451	39302860
chr13	30046401	30047010
chr3	28310501	28310860
chr8	86999451	86999860
chr17	17854101	17854510
chr9	6107001	6107410
chr9	7479301	7479660
chr5	145386801	145387260
chr6	18681101	18681460
chr5	162531501	162531910
chr8	39910401	39910760
chr7	132265101	132265910
chr14	96722751	96723110
chr10	3554501	3554810
chr7	127190351	127190710
chr4	142175551	142175860
chr20	56120951	56121210
chr17	75737201	75737560
chr18	45523851	45524260
chr8	123629851	123630310
chr6	129942401	129942760
chr11	34438751	34439110
chr2	164983501	164983910
chr1	188433001	188433460
chr13	30404201	30404510
chr10	79597401	79597760
chr11	46097501	46097860
chr20	37734201	37734560
chr11	9082101	9082510
chr12	31812001	31812310
chr1	37197301	37197660
chr11	94254851	94255210
chr17	9023801	9024160
chr13	49447901	49448260
chr2	206585701	206586310
chr14	77383401	77384010
chr10	62784451	62784910
chr5	99051701	99052010
chr10	59777551	59777860
chr16	68877751	68878160
chr2	54279701	54280310
chr2	204835151	204835360
chr8	96861251	96861660
chr2	121444301	121444760
chr15	50527101	50527360
chr3	8797251	8797660
chr8	82002851	82003210
chr5	29005401	29005760
chr8	130214751	130215110
chr3	9768701	9769260
chr3	28039301	28039560
chr1	160464351	160464860
chr22	42792751	42793110
chr11	13986151	13986460
chr17	36972051	36972460
chr10	105456151	105456660
chr15	38116901	38117210
chr5	148819451	148820060
chr5	175832751	175833110
chr10	31666701	31666960
chr2	227487201	227487560
chr1	211526101	211526810
chr2	14782651	14783010
chr1	220685101	220685660
chr4	188850201	188850560
chr1	113270301	113270660
chr11	94519601	94520110
chrX	133861401	133861760
chr17	6135651	6135910
chr2	3709951	3710310
chr11	65652001	65652610
chr6	49538451	49538860
chr5	121365951	121366210
chr1	38384951	38385310
chr3	4985251	4985610
chr13	98406201	98406560
chr17	45908251	45908710
chr15	75086001	75086360
chr1	24748001	24748310
chr1	173398551	173399160
chr9	112514951	112515210
chr8	119674551	119675160
chr2	139571751	139572410
chr7	50894601	50894910
chr2	114040651	114041060
chr1	209722851	209723360
chr22	30209551	30210010
chr17	40833201	40833610
chr9	34403701	34404260
chr2	28196451	28196860
chr12	33781051	33781360
chr1	179074451	179074910
chr1	172747901	172748260
chr10	119620301	119620760
chr4	56052301	56052660
chr2	114165251	114165660
chr13	101247001	101247360
chr8	24973601	24973860
chr8	10047501	10047810
chr10	31909251	31909560
chr6	13927401	13927760
chr18	45391351	45391660
chr13	92228851	92229210
chr11	102195851	102196210
chr12	20777651	20778010
chr2	231545201	231545510
chr3	98306951	98307360
chr17	9793351	9793810
chr13	44806251	44806560
chr1	42384401	42384710
chr6	3330451	3330810
chr1	114519501	114519860
chr2	218901151	218901410
chr1	154636151	154636510
chr11	61889551	61889910
chr2	231286901	231287210
chr5	122893651	122893960
chr8	119361901	119362260
chr5	8522851	8523060
chr3	72036151	72036560
chr11	12211151	12211510
chr1	205827751	205828060
chr22	42159051	42159460
chr12	125179501	125179860
chr4	140538901	140539210
chr4	106117851	106118260
chr4	152722651	152723160
chr5	115808051	115808310
chr8	66860751	66861110
chr5	142100451	142101010
chr10	333801	334160
chr17	77848101	77848610
chr7	104503151	104503560
chr16	24700451	24700910
chr17	26734501	26734910
chr5	154429201	154429760
chr16	89015251	89015560
chr1	234358551	234359010
chr5	28014901	28015260
chr10	125043651	125043960
chr2	210328001	210328310
chr1	18700401	18700760
chr6	579351	579710
chr9	2121301	2121610
chr11	74198951	74199360
chrX	44763801	44764160
chr1	201566901	201567360
chr2	204916201	204916560
chr12	128162051	128162510
chr8	125763801	125764310
chr3	11862151	11862510
chr15	60371351	60371760
chr2	104802901	104803210
chr9	38417001	38417410
chr5	71610551	71610960
chr10	105512401	105512910
chr1	67592001	67592410
chr13	46038651	46039010
chr6	13969701	13969960
chr20	1315501	1315860
chr13	73802651	73803060
chr1	173514901	173515210
chr20	36800701	36801110
chrX	81931851	81932260
chr6	12147751	12148160
chr12	52955801	52956210
chr11	79141351	79141710
chr1	182238251	182238610
chr7	137651051	137651260
chr15	65504401	65504810
chr6	116461051	116461510
chr14	22471001	22471410
chr18	52442901	52443360
chr7	45995801	45996160
chr1	108859201	108859560
chr22	40204051	40204460
chr7	29894101	29894460
chr4	124017151	124017560
chr10	59628401	59628610
chr9	33942751	33943010
chr5	33588851	33589260
chr11	118135051	118135360
chr1	188675801	188676210
chr18	34874901	34875310
chr4	89735451	89735760
chr7	48422251	48422610
chr14	23548051	23548260
chr22	47229101	47229460
chr13	107028951	107029460
chr9	130548851	130549460
chr8	133152751	133153310
chr13	73765701	73766060
chr18	23554501	23554760
chr2	204261451	204261860
chr14	65146701	65147060
chr2	28886301	28886610
chr5	31196451	31196760
chr4	14873751	14874160
chr16	82789251	82789560
chr4	88418301	88418710
chr3	34416101	34416310
chr1	202531201	202531710
chr6	19812701	19813160
chr10	86308701	86308960
chr5	32794201	32794660
chr1	167029701	167030160
chr16	29740501	29740960
chr22	20925701	20926210
chr6	35725251	35725610
chrX	144613751	144613960
chr17	11812751	11813060
chr10	55606601	55606960
chr1	33516151	33516510
chr2	32288201	32288810
chr11	14328051	14328360
chr2	43040001	43040660
chr4	109670351	109670610
chr6	140427001	140427410
chr8	109063351	109063860
chr7	77325551	77326010
chr6	57499651	57500160
chr6	80471951	80472410
chr6	155902101	155902360
chr13	56091501	56091810
chr5	72063451	72063760
chr1	206971301	206972010
chr1	246771951	246772560
chr6	109235401	109235860
chr5	168576351	168576710
chr8	119917451	119917710
chr19	17190851	17191310
chr10	29922301	29922660
chr1	180886401	180886760
chr6	6694651	6694960
chr1	223815701	223816410
chr17	71556851	71557160
chr6	74513451	74513910
chr10	105540901	105541410
chr18	3885151	3885610
chrX	107408601	107409060
chr3	25574201	25574660
chr2	160853851	160854160
