chr	start	end
chr4	154564551	154564960
chr6	147106101	147106560
chr14	21341751	21342210
chr1	218118551	218118760
chr9	87568951	87569410
chr9	114454001	114454410
chr5	54442351	54442810
chr1	62124801	62125160
chr1	176042601	176043160
chrX	40883651	40883910
chr15	68545201	68545760
chr1	220715201	220715510
chr17	17545051	17545560
chr1	11001901	11002460
chr2	29461351	29461810
chr8	108508001	108508510
chr1	40004851	40005310
chr7	43479351	43479910
chr15	63695001	63695460
chr20	62700951	62701660
chr18	47085701	47086060
chr8	105690851	105691310
chr15	45459251	45460010
chr15	52371001	52371560
chr1	229636451	229636660
chr22	50645101	50645460
chr10	71718001	71718510
chr1	217118251	217118610
chr5	172124301	172125060
chr11	64124051	64124310
chr1	209380851	209381610
chr4	184544501	184544760
chr3	149654501	149654910
chrX	46501551	46501960
chr8	58255801	58256360
chr3	163657851	163658110
chr6	83047451	83047810
chr15	29382651	29383160
chr12	118813801	118814360
chr2	172272501	172273010
chr1	99946951	99947360
chr12	125225451	125225760
chr8	120886251	120887160
chr1	226373651	226374310
chr4	47385851	47386210
chr2	200328001	200328610
chr7	100720751	100721310
chr4	65647401	65647860
chr2	242641851	242642610
chr3	14550301	14550960
chr3	189666201	189666660
chr7	47484301	47484660
chr2	191500551	191500860
chr14	107239551	107240010
chr16	31153651	31154210
chr8	8895751	8895960
chr16	11065251	11065760
chr15	94956151	94956560
chr10	45462251	45462560
chr9	75201801	75202060
chr1	145105001	145105910
chr13	91697701	91698060
chr1	244467001	244467960
chr22	39264801	39265360
chr7	36060851	36061310
chr8	23267801	23268360
chr1	104675001	104675410
chr10	23727601	23727810
chr3	139935101	139935510
chr17	40669351	40669910
chr1	234794001	234794360
chr19	42076801	42077610
chr5	68379351	68379610
chr19	1811851	1812310
chr7	107754501	107754960
chr16	71052951	71053310
chr1	204183151	204183860
chr10	94050501	94051160
chr15	40650701	40650910
chr2	192233801	192234110
chr19	47269901	47270360
chr6	32793701	32794010
chr15	33424901	33425360
chr1	154439351	154439660
chr12	80663651	80664210
chr21	19622201	19622460
chr15	57430401	57430910
chr12	124103001	124103410
chr4	1731401	1731860
chr6	161796251	161796560
chr1	92775651	92776110
chr15	59144651	59144810
chr3	47462451	47462960
chr3	46759251	46759560
chr15	85956651	85956910
chr11	115003601	115003910
chr5	44952351	44952810
chr1	155107951	155108510
chr10	74100151	74100610
chr3	45874201	45874560
chr4	182503851	182504060
chr7	77428051	77428510
chr15	37175701	37176260
chr3	57029351	57029910
chr8	141601551	141601860
chr2	156080301	156080710
chr11	72395501	72396010
chr12	57618651	57618960
chr5	167150101	167150760
chr15	84642551	84642960
chr6	69668301	69668560
chr2	197714651	197715010
chr1	145092301	145092910
chr19	51040901	51041360
chr21	28088151	28088660
chr1	174227051	174227710
chr1	161284401	161284860
chr16	72564451	72564810
chr7	142255751	142256010
chr1	231664701	231664910
chr1	226966401	226966510
chr11	19182501	19182660
chr6	16206701	16207210
chr17	63557901	63558160
chrX	61841751	61842160
chr22	39399051	39399510
chr9	18208151	18208560
chr17	72957651	72958060
chr7	42312801	42313210
chr9	130865901	130866210
chr12	49741251	49741910
chr6	53302401	53302810
chr20	16802001	16802560
chr7	101915401	101916010
chr17	46713751	46714260
chr5	60306651	60306910
chr1	173475601	173476010
chr9	110103401	110103860
chr5	36744651	36745110
chr2	239196501	239196560
chr7	128982901	128983410
chr18	72009651	72010110
chr19	44098801	44099260
chr20	32274251	32274610
chr1	109419501	109419810
chr14	56585001	56585210
chr6	35208751	35209310
chr17	74710851	74711360
chr3	121811401	121811710
chr11	9159201	9159760
chr16	15737301	15737760
chr7	55661401	55661960
chr6	133151401	133151760
chr6	41286501	41287010
chr1	154118351	154118960
chr11	78453551	78453810
chr1	95508801	95509360
chr16	58066151	58066560
chr2	99251251	99251560
chr7	143069151	143069510
chr3	156227501	156227910
chr14	81930801	81931310
chr2	95536101	95536460
chr12	106617801	106618360
chr14	105266551	105266910
chrX	25987151	25987460
chr3	127465401	127465560
chr1	204662101	204662310
chr12	52477101	52477660
chr5	13250751	13251210
chr12	12715701	12715960
chr6	55818201	55818660
chr11	128718701	128719110
chr6	28806551	28807010
chr3	181282151	181282260
chr8	24106301	24106660
chr15	56783301	56783760
chr16	78133101	78134360
chrX	104436551	104436960
chr11	119015551	119016010
chr8	20913901	20914160
chr12	26279551	26279760
chr5	150032801	150033160
chr13	113164351	113164710
chr1	235781151	235781560
chr12	85306451	85306910
chr10	6960251	6960660
chrX	67682551	67682860
chr1	226814001	226814760
chr11	17549601	17550110
chr12	72080051	72080410
chr14	75345151	75345310
chr16	46864101	46864260
chr2	25104651	25104810
chr9	85814201	85814560
chr15	48626551	48626860
chrX	11788301	11788860
chr19	43281151	43281560
chr15	84403351	84403610
chr15	91088401	91088560
chr1	52593001	52593560
chr17	74023001	74023310
chr22	33975401	33975960
chr7	146433851	146434210
chr3	122111701	122112160
chr10	119237801	119238260
chr6	13332001	13332460
chr3	180522801	180523010
chr18	22180001	22180410
chr14	72206151	72206310
chr11	64109801	64110260
chr17	73671001	73671360
chr1	875601	875910
chr3	64008901	64009610
chr2	136289351	136289560
chr1	144986101	144991010
chr6	83931601	83932010
chr13	111333151	111333560
chr1	3535501	3536110
chr2	190935001	190935410
chr9	38017351	38017710
chr2	126274051	126274510
chr8	1972201	1972610
chr17	41381601	41382460
chr15	52970301	52970610
chr12	67851801	67851910
chr11	8285251	8285910
chr10	24807851	24808360
chr12	69180801	69181060
chr12	655951	656560
chr1	21059451	21059910
chr10	6711201	6711660
chr18	44529951	44530410
chr17	57976501	57976860
chr9	137273501	137273810
chr5	76070351	76070860
chr12	53061451	53061560
